model,term,log_odds,se,odds_ratio,or_ci95_lo,or_ci95_hi,p_value
H2_logit_late90,Intercept,-9.137,1.334,0.0,0.0,0.001,7.447508667782871e-12
H2_logit_late90,C(rurality_3)[T.Suburban],0.161,0.579,1.175,0.377,3.658,0.7811169744544213
H2_logit_late90,C(rurality_3)[T.Urban],-0.436,0.307,0.647,0.354,1.181,0.15590006996979322
H2_logit_late90,C(county_top3)[T.RIO BLANCO],2.082,0.922,8.023,1.317,48.871,0.023892048995202
H2_logit_late90,C(county_top3)[T.WELD],0.875,0.914,2.4,0.4,14.4,0.33824642904581204
H2_logit_late90,post,2.712,1.134,15.055,1.631,139.0,0.01679644030329087
H2_logit_late90,historical,3.626,1.24,37.544,3.303,426.734,0.0034609982996449042
H2_logit_late90,post:historical,-1.788,1.198,0.167,0.016,1.751,0.1355701309545782
