model,term,log_odds,se,odds_ratio,or_ci95_lo,or_ci95_hi,p_value
H2_logit_late30,Intercept,-6.076722127222007,0.12037488354661907,0.0022956893109259886,0.0018132093197345094,0.0029065532340587694,0.0
H2_logit_late30,C(rurality_3)[T.Suburban],0.09288114755396955,0.10751268600209946,1.097331307007433,0.8888349515442793,1.3547352016778273,0.38763803310655165
H2_logit_late30,C(rurality_3)[T.Urban],-0.2276306210600183,0.17773470858349225,0.7964183856892493,0.5621477013186555,1.1283195565436004,0.2002876334596626
H2_logit_late30,C(county_norm)[T.RIO BLANCO],2.0811935864953846,0.14723394503156442,8.014028644342586,6.005135706736328,10.694954826799123,2.3020432566467147e-45
H2_logit_late30,C(county_norm)[T.WELD],0.21496827225663045,0.3510633758652804,1.2398225595700278,0.6230578268991744,2.467122493057975,0.5403163635785394
H2_logit_late30,post,0.7332266097940113,0.6451911237201464,2.081786896556632,0.5878120690097504,7.372826981888675,0.25576882647996435
H2_logit_late30,historical,2.01097426314417,0.6209592831685774,7.470592125542657,2.211993329665815,25.230522152908854,0.0012016163236690598
H2_logit_late30,post:historical,-0.2556356602309915,0.5714802142132179,0.7744240708857231,0.2526533519690273,2.3737371259603814,0.6546426000076981
