model,term,log_odds,se,odds_ratio,or_ci95_lo,or_ci95_hi,p_value
H2_logit_late30,Intercept,-6.077,0.58,0.002,0.001,0.007,1.1357660676108013e-25
H2_logit_late30,C(rurality_3)[T.Suburban],0.093,0.551,1.097,0.373,3.232,0.8661828912557241
H2_logit_late30,C(rurality_3)[T.Urban],-0.228,0.324,0.796,0.422,1.502,0.482053834828331
H2_logit_late30,C(county_top3)[T.RIO BLANCO],2.081,0.508,8.014,2.959,21.704,4.235585273704006e-05
H2_logit_late30,C(county_top3)[T.WELD],0.215,0.709,1.24,0.309,4.974,0.7616629306774159
H2_logit_late30,post,0.733,0.471,2.082,0.827,5.242,0.11963128287761152
H2_logit_late30,historical,2.011,0.587,7.471,2.364,23.605,0.0006126897798780262
H2_logit_late30,post:historical,-0.256,0.528,0.774,0.275,2.179,0.6281996206990301
