model,term,log_odds,se,odds_ratio,or_ci95_lo,or_ci95_hi,p_value
H2_logit_any_delay,Intercept,1.0688959706620362,0.0661681975746226,2.912162611574061,2.5579503759441904,3.3154243944703046,1.0604242365937626e-58
H2_logit_any_delay,C(rurality_3)[T.Suburban],-0.25247688999271417,0.14212524947906058,0.7768741661995024,0.5879917398997789,1.0264318852694125,0.07566052528124904
H2_logit_any_delay,C(rurality_3)[T.Urban],-0.3352658333127368,0.07092297737352928,0.715147950932622,0.6223361681575338,0.821801170960815,2.2765702027016487e-06
H2_logit_any_delay,C(county_norm)[T.RIO BLANCO],0.36348285009326586,0.06295558686176378,1.4383301894651432,1.2713634405592296,1.6272244961022655,7.757741687589777e-09
H2_logit_any_delay,C(county_norm)[T.WELD],0.16928170310369625,0.06354509273541613,1.1844537562305626,1.0457489437952399,1.3415559336423164,0.00772263192102444
H2_logit_any_delay,post,-0.6872649967364244,0.0733209194537796,0.5029497589187033,0.4356247815783403,0.5806796828221564,7.024475669864971e-21
H2_logit_any_delay,historical,-0.13471264227821297,0.08590121222655259,0.8739670167786716,0.7385407358739577,1.0342264269460246,0.11682805148914323
H2_logit_any_delay,post:historical,-0.47264738948238316,0.14096625035273735,0.6233498321373343,0.4728669403187109,0.8217216728320048,0.0007996621510556888
