model,term,log_odds,se,odds_ratio,or_ci95_lo,or_ci95_hi,p_value
H3_logit_late30_post_x_rurality,Intercept,-6.121536204867609,0.1211359718415355,0.002195081277059066,0.0017311614979084254,0.002783323114981929,0.0
H3_logit_late30_post_x_rurality,C(rurality_3)[T.Suburban],0.8264813688766602,0.5274813723524572,2.2852635774529912,0.8127090375089755,6.425952434884259,0.11715100674186328
H3_logit_late30_post_x_rurality,C(rurality_3)[T.Urban],-0.3988183455803184,0.4691630890047893,0.671112600851368,0.2675689470087545,1.6832750139976127,0.39528986835172775
H3_logit_late30_post_x_rurality,C(county_norm)[T.RIO BLANCO],2.1122200821515746,0.14658880469504304,8.266573399755785,6.202212138516948,11.018042312543384,4.532539143829686e-47
H3_logit_late30_post_x_rurality,C(county_norm)[T.WELD],0.25316426848293333,0.33388514338370073,1.2880948528438705,0.6694822593566012,2.478315633811443,0.44830875797067926
H3_logit_late30_post_x_rurality,post,0.7642818585576784,0.6393362114451842,2.147451646750188,0.6133514889877438,7.5186066357169015,0.23191896572341464
H3_logit_late30_post_x_rurality,post:C(rurality_3)[T.Suburban],-1.155046009828613,0.6711837145437801,0.3150430414936054,0.08453698988084708,1.1740673299751399,0.08526736121289366
H3_logit_late30_post_x_rurality,post:C(rurality_3)[T.Urban],0.2165752391702578,0.44700677871136785,1.2418165150832046,0.517079808919516,2.98234088922514,0.6280303423193028
H3_logit_late30_post_x_rurality,historical,2.059609854313051,0.7185331769051907,7.842909336091251,1.9180035504469017,32.070444728746715,0.004151576992406048
H3_logit_late30_post_x_rurality,post:historical,-0.33829242804916765,0.5604030243532773,0.7129867600827438,0.23771510603791682,2.1384847119147885,0.546070260910144
