model,term,coef,se,t,p_value
H2_OLS_log1p_delay_gt0_cluster_operator,Intercept,1.186,0.275,4.318,1.5712074353368638e-05
H2_OLS_log1p_delay_gt0_cluster_operator,C(county_norm)[T.RIO BLANCO],0.125,0.113,1.104,0.2697539498536822
H2_OLS_log1p_delay_gt0_cluster_operator,C(county_norm)[T.WELD],-0.458,0.274,-1.675,0.0939414513057116
H2_OLS_log1p_delay_gt0_cluster_operator,C(rurality_3)[T.Suburban],0.092,0.032,2.901,0.003724801337209218
H2_OLS_log1p_delay_gt0_cluster_operator,C(rurality_3)[T.Urban],0.022,0.041,0.534,0.5933441274491137
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.31 OPERATING],0.943,0.287,3.287,0.0010127175158589927
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.4-H OPERATING CORPORATION],1.088,0.104,10.489,9.675381396413103e-26
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.8 NORTH LLC],-0.146,0.096,-1.532,0.12556396181148452
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.AKA ENERGY GROUP LLC],1.018,0.048,21.07,1.512413076386599e-98
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.ANADARKO DJ GAS PROCESSING LLC],0.405,0.0,3311865904832.326,0.0
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.ANADARKO WATTENBERG OIL COMPLEX LLC],0.843,0.05,17.029,5.015935531756504e-65
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.ANSCHUTZ EXPLORATION CORP],-0.039,0.286,-0.135,0.8923209099267128
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.BARGATH LLC],-0.043,0.273,-0.158,0.8746463889964773
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.BARRETT CORPORATION* BILL],0.348,0.073,4.781,1.7421922121014254e-06
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.BARRETT RESOURCES CORP],0.0,0.0,0.142,0.88700794009714
H2_OLS_log1p_delay_gt0_cluster_operator,"C(operator)[T.BAYLESS PRODUCER, LLC* ROBERT L]",-0.618,0.295,-2.096,0.036091260914631634
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.BAYSWATER EXPLORATION & PRODUCTION LLC],0.432,0.029,14.916,2.583856507114408e-50
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.BAYSWATER EXPLORATION AND PRODUCTION LLC],0.135,0.068,2.004,0.045089492055081254
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.BERRY PETROLEUM COMPANY LLC],0.08,0.273,0.294,0.7690333367589057
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.BISON IV OPERATING LLC],0.752,0.041,18.126,1.9960561358096017e-73
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.BISON OIL & GAS II LLC],0.276,0.048,5.689,1.2786251103042456e-08
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.BLUE CHIP OIL INC],1.677,0.094,17.861,2.379004934601223e-71
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.BNN WESTERN LLC],0.187,0.064,2.95,0.003175444980494319
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.BONANZA CREEK ENERGY OPERATING COMPANY LLC],0.145,0.05,2.932,0.0033657043418378286
H2_OLS_log1p_delay_gt0_cluster_operator,C(operator)[T.CAERUS PICEANCE LLC],-0.189,0.271,-0.699,0.48449159793568186
