model,term,coef,se,z_or_t,p_value
H2_ols_log1p_cond_delay_gt0,C(operator)[T.SYNERGY RESOURCES CORPORATION],0.3818557591446464,0.08212027210469908,4.649957304790712,3.320037509236643e-06
H2_ols_log1p_cond_delay_gt0,C(operator)[T.TALLGRASS WATER WESTERN LLC],0.022154883301143406,0.009830472930597897,2.2536945534110666,0.02421539025137225
H2_ols_log1p_cond_delay_gt0,C(operator)[T.TAPROOT ROCKIES MIDSTREAM LLC],0.10324790492277605,0.009830472930271193,10.502842096725834,8.381782017624375e-26
H2_ols_log1p_cond_delay_gt0,C(operator)[T.TEP ROCKY MOUNTAIN LLC],-0.22459559936037854,0.3122970952182245,-0.7191728735210854,0.4720344110299429
H2_ols_log1p_cond_delay_gt0,C(operator)[T.TEXAS TEA OF COLORADO LLC DBA TEXAS TEA LLC],-0.31029516083116854,0.145721417982535,-2.129372367680076,0.03322346474991613
H2_ols_log1p_cond_delay_gt0,C(operator)[T.TINDALL OPERATING COMPANY],-0.2881402775300461,0.15543976442981675,-1.8537102046377942,0.06378063099057178
H2_ols_log1p_cond_delay_gt0,C(operator)[T.TOP OPERATING COMPANY],0.16493522591336887,0.14660428619759971,1.1250368607304013,0.26057341474164486
H2_ols_log1p_cond_delay_gt0,C(operator)[T.UPLAND EXPLORATION LLC],2.5871042407626765,0.009830472930590025,263.17190017504055,0.0
H2_ols_log1p_cond_delay_gt0,C(operator)[T.URSA OPERATING COMPANY LLC],-0.11648120160785683,0.27005156563054755,-0.4313294808563064,0.6662288173197233
H2_ols_log1p_cond_delay_gt0,C(operator)[T.UTAH GAS OP LTD DBA UTAH GAS CORP],1.3338449572761848,0.24989530954046493,5.3376150185812055,9.417715983760931e-08
H2_ols_log1p_cond_delay_gt0,C(operator)[T.VANGUARD OPERATING LLC],-0.11591600775900525,0.2592627954430559,-0.44709850312658866,0.6548039397639964
H2_ols_log1p_cond_delay_gt0,C(operator)[T.VERDAD OIL & GAS CORPORATION],-0.05709866138015397,0.01741267593255267,-3.2791434011247578,0.0010412271126710808
